년월,정류소명,승차,하차
2016-01-01,대곡주공8단지앞,18873,1244
2016-01-01,대곡중학교건너,1954,388
2016-01-01,대곡중학교앞,1173,282
2016-01-01,대공원역(1번출구),1470,3800
2016-01-01,대공원역(5번출구),3016,361
2016-01-01,대구가톨릭대학병원건너,19445,2526
2016-01-01,대구가톨릭대학병원앞,16790,1812
2016-01-01,대구경북과학기술원,100,17
2016-01-01,대구경북과학기술원기숙사,166,21
2016-01-01,대구경북지방병무청,463,912
2016-01-01,대구고등학교건너,32602,10770
2016-01-01,대구고등학교앞,9761,3640
2016-01-01,대구고용노동청건너,7203,881
2016-01-01,대구고용노동청앞,1780,498
2016-01-01,대구공업대학1,12536,3486
2016-01-01,대구공업대학2,3974,2682
2016-01-01,대구공업대학건너,3748,2026
2016-01-01,대구공업대학앞,4780,1438
2016-01-01,대구과학고등학교건너,6184,3607
2016-01-01,대구과학고등학교앞,8721,759
2016-01-01,대구과학대학1,14186,5555
2016-01-01,대구과학대학2,35958,3273
2016-01-01,대구과학대학건너,1839,206
2016-01-01,대구과학대학앞,1695,224
2016-01-01,대구광역시교육연수원건너,11465,769
2016-01-01,대구광역시교육연수원앞,4250,2188
2016-01-01,대구광역시청건너,1463,1860
2016-01-01,대구광역시청앞,1360,355
2016-01-01,대구교도소건너,6469,4285
2016-01-01,대구교도소앞,19426,3305
2016-01-01,대구교육대건너,279,2593
2016-01-01,대구교육대앞,15204,2322
2016-01-01,대구교통방송건너,3772,4560
2016-01-01,대구교통방송앞,11862,957
2016-01-01,대구국제공항건너,20677,8979
2016-01-01,대구국제공항앞,21151,5245
2016-01-01,대구글로벌교육센터건너,3690,10144
2016-01-01,대구글로벌교육센터앞,2504,481
2016-01-01,대구농업마이스터고건너,19059,1808
2016-01-01,대구농업마이스터고앞,6357,8514
2016-01-01,대구농업마이스터고후문건너,1960,570
2016-01-01,대구농업마이스터고후문앞,1099,139
2016-01-01,대구도시공사앞,9722,1822
2016-01-01,대구동부고용복지플러스센터,9789,4485
2016-01-01,대구동촌유치원,882,162
2016-01-01,대구디지털산업진흥원건너,11752,6130
2016-01-01,대구디지털산업진흥원앞,12446,1921
2016-01-01,대구맨션건너,2054,585
2016-01-01,대구맨션앞,3609,445
2016-01-01,대구문화방송건너,10589,3768
2016-01-01,대구문화방송앞,12068,1958
2016-01-01,대구미술관건너,556,37
2016-01-01,대구미술관앞,703,48
2016-01-01,대구병원건너,12475,1088
2016-01-01,대구병원앞,6343,2782
2016-01-01,대구보건고등학교건너,11605,5607
2016-01-01,대구보건고등학교앞,8651,1919
2016-01-01,대구보건대학3,8662,4272
2016-01-01,대구보건대학4,11898,3376
2016-01-01,대구보건대학건너1,1846,99
2016-01-01,대구보건대학건너2,10149,171
2016-01-01,대구보건대학앞1,1192,375
2016-01-01,대구보건대학앞2,824,558
2016-01-01,대구보훈요양원건너,0,8
2016-01-01,대구보훈요양원앞,72,0
2016-01-01,대구비지니스센터건너,3553,447
2016-01-01,대구비지니스센터앞,4267,294
2016-01-01,대구사격장,72,13
2016-01-01,대구삼성창조캠퍼스1,2003,290
2016-01-01,대구삼성창조캠퍼스2,993,855
2016-01-01,대구선방촌공원,946,24
2016-01-01,대구소방본부건너,240,60
2016-01-01,대구소방본부앞,1044,1761
2016-01-01,대구스타디움건너,1630,425
2016-01-01,대구스타디움앞,2642,505
2016-01-01,대구시교육청건너,401,589
2016-01-01,대구시교육청앞,2822,2768
2016-01-01,대구시설공단건너,15023,3611
2016-01-01,대구시설공단앞,10266,14936
2016-01-01,대구시설관리사업소,342,120
2016-01-01,대구시지노인전문병원건너,380,67
2016-01-01,대구시지노인전문병원앞,453,1385
2016-01-01,대구신문사,62,513
2016-01-01,대구애견훈련학교건너,228,1
2016-01-01,대구애견훈련학교앞,0,12
2016-01-01,대구역,514,137
2016-01-01,대구역건너,26139,4792
2016-01-01,대구역꽃시장,110,659
2016-01-01,대구역북편네거리1,28553,3544
2016-01-01,대구역북편네거리2,10212,10198
2016-01-01,대구역센트럴자이,1405,160
2016-01-01,대구역앞,29634,9935
